CollectionDate,State,Subtype
8/14/2015,Alaska,-N/A-
1/9/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
3/4/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
1/15/2014,Massachusetts,-N/A-
6/19/2013,Maine,-N/A-
1/9/2014,Massachusetts,-N/A-
6/19/2013,Maine,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
8/11/2015,Alaska,-N/A-
9/24/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
7/23/2015,Alaska,-N/A-
8/16/2014,Alaska,-N/A-
7/12/2013,Alaska,-N/A-
7/12/2013,Alaska,-N/A-
7/23/2013,Alaska,-N/A-
7/12/2013,Alaska,-N/A-
7/20/2013,Alaska,-N/A-
7/21/2015,Alaska,-N/A-
7/20/2013,Alaska,-N/A-
7/22/2013,Alaska,-N/A-
7/7/2015,Alaska,-N/A-
7/23/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/10/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
1/9/2014,Massachusetts,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
9/7/2015,Alaska,-N/A-
10/5/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
10/7/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
9/11/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
9/19/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/12/2015,Alaska,-N/A-
8/14/2015,Alaska,-N/A-
8/15/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
8/13/2015,Alaska,-N/A-
8/11/2015,Alaska,-N/A-
9/25/2013,Alaska,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,H4N4
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
1/16/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/13/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
2/20/2014,Massachusetts,-N/A-
2/25/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
4/4/2014,Massachusetts,-N/A-
2/25/2014,Massachusetts,-N/A-
2/25/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
1/15/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,H13N8
12/19/2013,Massachusetts,-N/A-
1/15/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/20/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
4/4/2014,Massachusetts,-N/A-
3/28/2014,Massachusetts,-N/A-
1/10/2014,Massachusetts,-N/A-
12/14/2012,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/3/2013,Alaska,-N/A-
10/22/2014,Alaska,H1N1
12/14/2012,Alaska,-N/A-
4/7/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/7/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/7/2013,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/5/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/7/2013,Alaska,-N/A-
9/29/2015,Alaska,-N/A-
4/5/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/8/2013,Alaska,-N/A-
4/2/2013,Alaska,-N/A-
3/29/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
4/6/2013,Alaska,-N/A-
12/14/2012,Alaska,-N/A-
10/22/2014,Alaska,-N/A-
10/22/2012,Massachusetts,-N/A-
2/20/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
12/6/2012,Massachusetts,-N/A-
12/20/2012,Massachusetts,-N/A-
2/15/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/6/2012,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
3/5/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
3/5/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/20/2013,Massachusetts,-N/A-
11/20/2012,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
6/4/2013,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/20/2012,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
3/5/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
4/4/2013,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
11/20/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
6/17/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
9/21/2012,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
2/20/2013,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
3/5/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
10/11/2012,Massachusetts,H13N6
12/19/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
2/20/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/15/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
10/11/2012,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
10/11/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/20/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
6/4/2013,Massachusetts,-N/A-
3/5/2013,Massachusetts,H9N1
10/11/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
7/3/2013,Massachusetts,H13N6
3/5/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
11/20/2012,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
11/20/2012,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
2/15/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/30/2013,Massachusetts,-N/A-
2/20/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
10/11/2012,Massachusetts,-N/A-
10/11/2012,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
10/22/2012,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
6/17/2013,Massachusetts,-N/A-
9/26/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
2/1/2013,Massachusetts,-N/A-
6/17/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
2/7/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/20/2012,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
10/11/2012,Massachusetts,H16N3
3/5/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
10/11/2012,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
7/3/2013,Massachusetts,-N/A-
4/17/2013,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
2/1/2013,Massachusetts,-N/A-
3/5/2013,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
9/26/2013,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
11/9/2012,Massachusetts,-N/A-
1/9/2014,Massachusetts,-N/A-
1/15/2015,Massachusetts,-N/A-
12/19/2013,Massachusetts,-N/A-
12/3/2012,Maine,-N/A-
1/2/2013,Maine,H6N2
11/17/2013,Wisconsin,-N/A-
11/2/2013,Missouri,-N/A-
9/14/2013,Missouri,-N/A-
11/11/2012,Ohio,H1N8
11/18/2013,Wisconsin,-N/A-
11/18/2013,Wisconsin,-N/A-
8/20/2013,Ohio,-N/A-
9/21/2013,Wisconsin,-N/A-
8/8/2013,Ohio,H4N8
8/14/2013,Ohio,H4N2
10/12/2013,Ohio,H3N8
11/9/2013,Illinois,-N/A-
12/13/2013,Arkansas,-N/A-
12/1/2012,Illinois,-N/A-
11/9/2013,Illinois,-N/A-
11/10/2012,Ohio,H5N2
11/10/2012,Ohio,H5N2
11/2/2013,Missouri,-N/A-
11/16/2012,Ohio,H3N8
12/1/2012,Illinois,-N/A-
11/16/2012,Ohio,H3N8
10/23/2013,Ohio,-N/A-
11/22/2013,Ohio,-N/A-
11/17/2012,Ohio,H5N2
10/25/2013,Ohio,-N/A-
11/10/2013,Illinois,-N/A-
10/12/2013,Ohio,-N/A-
11/17/2012,Ohio,H7N3
9/22/2013,Ohio,H3N8
11/2/2013,Missouri,-N/A-
9/14/2013,Ohio,H6N8
11/9/2013,Ohio,-N/A-
12/8/2013,Mississippi,-N/A-
9/15/2012,Ohio,H11N2
9/14/2013,Ohio,-N/A-
10/20/2012,Illinois,Mixed
10/13/2012,Ohio,unknown
9/21/2013,Ohio,H6N8
9/21/2013,Ohio,H6N7
10/12/2013,Ohio,H3N6
10/19/2013,Illinois,-N/A-
9/21/2013,Ohio,H4N6
9/14/2013,Ohio,H7N3
9/21/2013,Ohio,H4N6
9/21/2013,Ohio,H4N6
9/14/2013,Ohio,H6N1
9/1/2012,Ohio,Mixed
9/8/2013,Ohio,Mixed
9/30/2012,Wisconsin,H11N9
9/8/2013,Ohio,-N/A-
11/2/2013,Missouri,-N/A-
9/27/2012,Wisconsin,H4N6
9/14/2013,Ohio,H4N8
12/8/2012,Mississippi,H5N2
9/7/2013,Illinois,-N/A-
9/14/2013,Ohio,H6N1
9/14/2013,Ohio,Mixed
1/12/2014,Mississippi,-N/A-
9/8/2013,Illinois,-N/A-
9/21/2013,Ohio,H6N2
9/4/2012,Ohio,H6N5
9/7/2013,Ohio,H6N8
11/10/2012,Illinois,H10N3
9/8/2012,Ohio,H6N5
9/8/2013,Ohio,H4N8
9/8/2013,Ohio,H3N8
9/22/2013,Ohio,H6N8
10/13/2012,Wisconsin,H4N2
9/7/2013,Illinois,-N/A-
9/21/2013,Ohio,H3N2
9/7/2012,Ohio,H4N6
9/8/2013,Ohio,H10N8
11/10/2013,Illinois,-N/A-
9/7/2013,Ohio,H4N6
9/30/2012,Wisconsin,Mixed
9/21/2013,Ohio,H6N8
12/28/2013,Missouri,-N/A-
9/27/2012,Wisconsin,H1N1
9/21/2013,Wisconsin,-N/A-
12/30/2013,Missouri,-N/A-
11/23/2012,Illinois,N8
12/1/2012,Illinois,-N/A-
2/5/2013,Ohio,Mixed
2/9/2013,Ohio,H1N2
2/5/2013,Ohio,H10N7
2/5/2013,Ohio,H3N6
2/7/2013,Ohio,H10N7
2/5/2013,Ohio,-N/A-
2/9/2013,Ohio,H6N2
2/10/2013,Ohio,H10N7
2/7/2013,Ohio,H7N3
2/7/2013,Ohio,H3N6
2/5/2013,Ohio,H4N6
2/5/2013,Ohio,H3N8
9/28/2013,Wisconsin,H6N2
10/24/2013,Ohio,-N/A-
11/9/2013,Ohio,-N/A-
10/13/2012,Ohio,Mixed
9/21/2013,Wisconsin,-N/A-
9/22/2012,Wisconsin,Mixed
11/18/2013,Wisconsin,-N/A-
9/22/2013,Ohio,H3N8
9/14/2013,Ohio,H4N6
9/21/2013,Ohio,H6N2
10/19/2013,Ohio,-N/A-
9/30/2012,Wisconsin,N6
9/29/2013,Wisconsin,H3N8
9/14/2013,Ohio,H3N2
9/29/2013,Wisconsin,H7N3
9/29/2012,Wisconsin,H11N9
9/29/2013,Wisconsin,H6N8
9/22/2013,Ohio,H6N8
9/1/2012,Ohio,-N/A-
11/2/2013,Missouri,-N/A-
9/8/2013,Ohio,Mixed
10/20/2012,Illinois,H3N8
9/7/2013,Ohio,H3N8
9/21/2013,Ohio,-N/A-
9/13/2013,Ohio,H7N2
9/21/2013,Ohio,H6N8
3/2/2012,Nebraska,H6N2
8/8/2013,Ohio,H4N8
11/10/2013,Illinois,-N/A-
8/6/2013,Ohio,-N/A-
9/21/2013,Iowa,-N/A-
9/4/2012,Ohio,-N/A-
9/8/2012,Missouri,-N/A-
9/14/2013,Missouri,-N/A-
9/14/2013,Ohio,Mixed
9/29/2013,Wisconsin,H3N2
9/8/2012,Ohio,H11N3
9/22/2012,Wisconsin,H11N9
9/14/2013,Missouri,-N/A-
9/21/2013,Iowa,-N/A-
10/20/2012,Illinois,H1N1
9/7/2013,Illinois,-N/A-
9/21/2013,Iowa,H4N8
9/21/2013,Iowa,H4N8
9/16/2013,Ohio,H7N1
9/8/2013,Illinois,-N/A-
9/15/2012,Ohio,H3N2
9/21/2013,Ohio,H6N2
9/21/2013,Ohio,-N/A-
10/13/2012,Ohio,H4N6
9/8/2012,Missouri,H4N8
9/14/2013,Missouri,-N/A-
9/29/2012,Wisconsin,Mixed
9/14/2013,Missouri,-N/A-
8/21/2013,Iowa,H4N6
9/21/2013,Wisconsin,-N/A-
9/7/2012,Ohio,H12N5
9/14/2013,Missouri,-N/A-
9/22/2013,Ohio,H2N3
10/12/2013,Ohio,H3N8
9/8/2012,Missouri,H4N8
9/13/2013,Ohio,H4N8
9/14/2013,Missouri,-N/A-
9/8/2012,Missouri,HxNx
9/1/2012,Ohio,H4N6
9/21/2013,Iowa,-N/A-
9/14/2013,Ohio,H3N8
9/21/2013,Iowa,H4N6
9/7/2013,Ohio,H3N6
9/21/2013,Iowa,H3N8
9/15/2012,Ohio,H4N6
11/2/2013,Missouri,-N/A-
10/13/2012,Wisconsin,H3N2
9/7/2013,Ohio,H3N2
9/21/2013,Iowa,H3N8
9/14/2013,Missouri,-N/A-
9/14/2013,Missouri,-N/A-
9/8/2012,Ohio,H4N6
9/7/2013,Illinois,-N/A-
9/2/2012,Ohio,H3N2
9/21/2013,Iowa,H4N8
9/15/2012,Ohio,H4N6
10/13/2012,Wisconsin,H4N8
9/21/2013,Ohio,H6N7
10/20/2012,Illinois,Mixed
9/13/2013,Ohio,H7N3
11/2/2013,Missouri,-N/A-
9/21/2013,Iowa,Mixed
9/15/2012,Ohio,H11N9
9/8/2012,Missouri,-N/A-
9/29/2012,Ohio,H4N6
9/1/2012,Ohio,H3N6
10/13/2012,Wisconsin,H4N8
9/7/2013,Illinois,-N/A-
9/8/2012,Illinois,H3N8
9/21/2013,Iowa,H3N8
9/15/2012,Ohio,H4N6
9/29/2012,Wisconsin,H3N2
9/14/2013,Ohio,H4N6
9/29/2012,Wisconsin,Mixed
9/21/2013,Iowa,H4N8
9/7/2013,Illinois,-N/A-
9/21/2013,Iowa,Mixed
9/8/2012,Illinois,H11N3
9/21/2013,Iowa,H7N3
9/14/2013,Ohio,H4N6
9/7/2013,Illinois,-N/A-
9/21/2013,Ohio,H4N6
10/19/2013,Illinois,-N/A-
9/14/2013,Missouri,-N/A-
9/14/2013,Missouri,-N/A-
9/1/2012,Ohio,Mixed
9/14/2013,Ohio,H4N8
10/12/2013,Ohio,-N/A-
9/8/2013,Illinois,-N/A-
9/1/2012,Ohio,H11
9/22/2013,Wisconsin,-N/A-
9/7/2013,Illinois,-N/A-
9/7/2012,Ohio,H10N9
10/13/2012,Wisconsin,H4N8
9/7/2012,Ohio,H3N6
9/21/2013,Iowa,H4N8
9/21/2013,Iowa,H4N8
9/21/2013,Iowa,-N/A-
9/14/2013,Missouri,-N/A-
9/14/2013,Ohio,H7N3
9/14/2013,Missouri,-N/A-
10/13/2012,Ohio,H11N9
9/14/2013,Missouri,-N/A-
9/21/2013,Iowa,-N/A-
9/1/2012,Ohio,H4N6
9/14/2013,Missouri,-N/A-
9/8/2012,Illinois,H3N8
10/12/2013,Ohio,-N/A-
11/10/2012,Illinois,H10N3
1/12/2014,Mississippi,-N/A-
10/25/2013,Ohio,-N/A-
1/12/2014,Mississippi,-N/A-
12/8/2013,Mississippi,-N/A-
10/13/2012,Ohio,H12N5
1/12/2014,Mississippi,-N/A-
11/2/2013,Missouri,-N/A-
12/10/2012,Missouri,Mixed
12/8/2012,Mississippi,Mixed
12/1/2012,Illinois,H7N3
1/13/2013,Mississippi,-N/A-
11/2/2013,Missouri,-N/A-
10/19/2013,Ohio,-N/A-
11/17/2012,Ohio,H7N3
12/8/2013,Mississippi,-N/A-
11/2/2013,Missouri,-N/A-
12/27/2013,Missouri,-N/A-
12/1/2012,Illinois,H6N2
11/10/2012,Ohio,H2N3
12/10/2012,Missouri,H10N3
1/13/2014,Mississippi,-N/A-
12/8/2013,Mississippi,-N/A-
11/2/2013,Missouri,-N/A-
10/20/2012,Illinois,H2N5
10/20/2012,Illinois,H1N1
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
8/2/2012,Ohio,-N/A-
12/12/2013,Mississippi,-N/A-
12/13/2013,Arkansas,-N/A-
10/19/2013,Illinois,-N/A-
8/20/2013,Ohio,H4N8
10/27/2012,Wisconsin,H3N8
8/6/2013,Ohio,H4N8
8/1/2013,Ohio,H1N8
11/23/2012,Illinois,Mixed
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
8/1/2013,Ohio,H1N8
8/20/2013,Ohio,H4N8
8/6/2013,Ohio,H4N8
8/14/2013,Ohio,H4N8
8/1/2013,Ohio,H1N8
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
8/1/2013,Ohio,H1N8
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
9/21/2013,Wisconsin,-N/A-
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
1/13/2014,Mississippi,-N/A-
8/1/2013,Ohio,H1N8
10/13/2012,Ohio,N6
8/14/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
11/23/2012,Illinois,H4N8
8/8/2012,Ohio,-N/A-
8/1/2013,Ohio,H1N8
10/12/2013,Ohio,-N/A-
8/12/2013,Ohio,H4N2
8/14/2013,Ohio,H4N2
8/8/2012,Ohio,H11
8/14/2013,Ohio,H4N2
8/3/2012,Ohio,Mixed
8/8/2013,Ohio,H4N8
10/20/2012,Illinois,H5N1
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
11/2/2013,Missouri,-N/A-
8/6/2013,Ohio,H4N8
10/19/2013,Indiana,-N/A-
8/8/2013,Ohio,H4N6
8/6/2013,Ohio,-N/A-
11/10/2012,Ohio,Mixed
8/14/2013,Ohio,H3N2
8/1/2013,Ohio,-N/A-
8/8/2013,Ohio,H4N8
11/16/2012,Ohio,H5N1
8/6/2013,Ohio,-N/A-
8/6/2013,Ohio,-N/A-
9/22/2012,Wisconsin,H6N1
